"CITY","STATE","COUNTRY","GENDER","AGE","MARITAL_STATUS","PROFESSION","REPELLENT_NEGTWEETS","REPELLENT","TENT"
"New York","NY","United States","F","42","Married","Other","7","false","true"
"Brisbane","Qld","Australia","F","22","Married","Retail","1","true","false"
"Hiroshima","NA","Japan","M","21","Single","Sales","5","false","true"
"Hermosillo","NA","Mexico","M","21","Single","Other","2","true","true"
"Fredericia","NA","Denmark","M","21","Single","Professional","3","false","true"
"Campbell","CA","United States","M","20","Single","Executive","7","false","true"
"Ahmedabad","GJ","India","M","20","Single","Sales","7","false","true"
"Kristinehamn","NA","Sweden","F","32","Married","Other","5","false","true"
"Berlin","NA","Germany","M","29","Single","Trades","10","false","true"
"Sydney","NSW","Australia","F","38","Married","Retail","0","true","false"
"Ahmedabad","GJ","India","F","19","Single","Other","9","false","true"
"Roma","NA","Italy","M","25","Single","Other","4","false","true"
"Basildon","NA","United Kingdom","F","33","Married","Other","1","true","false"
"Halifax","NS","Canada","F","44","Married","Other","2","true","false"
"Essen","NA","Germany","M","24","Single","Sales","6","false","true"
"Dresden","NA","Germany","M","23","Single","Sales","6","false","true"
"Guangzhou","NA","China","M","20","Single","Trades","7","false","true"
"Saint-Etienne","NA","France","M","20","Single","Professional","6","false","true"
"Sterling Heights","MI","United States","M","42","Married","Other","5","false","true"
"Toulon","NA","France","M","34","Single","Professional","4","false","true"
"Portsmouth","NA","United Kingdom","F","31","Single","Retail","3","true","false"
"Caen","NA","France","F","38","Married","Other","2","true","false"
"Maanshan","NA","China","M","22","Single","Executive","10","false","true"
"Nijmegen","NA","Netherlands","F","33","Married","Executive","4","false","true"
"Luling","LA","United States","M","29","Single","Professional","5","false","true"
"Petrópolis","BR-RJ","Brazil","M","42","Married","Sales","8","false","true"
"Aix-en-Provence","NA","France","F","37","Single","Professional","2","true","false"
"Leuven","NA","Belgium","M","29","Single","Other","5","false","true"
"Brooklyn","NY","United States","M","25","Single","Trades","4","false","true"
"Bern","NA","Switzerland","F","35","Single","Retail","2","true","false"
"Singapore","Singapore","Singapore","F","35","Married","Other","1","true","false"
"Bordeaux","NA","France","M","27","Single","Professional","7","false","true"
"Chihuahua","NA","Mexico","M","44","Married","Sales","6","false","true"
"Portage La Prairie","MB","Canada","M","43","Married","Executive","6","false","true"
"Kissimmee","FL","United States","F","32","Married","Other","2","true","false"
"Essen","NA","Germany","M","22","Single","Executive","6","false","true"
"Hadano","NA","Japan","F","40","Married","Other","4","false","true"
"Perth","WA","Australia","F","44","Unspecified","Hospitality","3","false","true"
"Fort Lauderdale","FL","United States","M","30","Married","Other","8","false","true"
"Woodcote","NA","United Kingdom","M","36","Married","Sales","5","false","true"
"Madrid","NA","Spain","F","21","Single","Professional","2","true","false"
"Machida","NA","Japan","M","28","Married","Professional","3","false","true"
"Portage La Prairie","MB","Canada","F","24","Married","Retail","2","true","false"
"Fussa","NA","Japan","M","39","Married","Other","13","false","true"
"Davie","FL","United States","M","25","Single","Other","5","false","true"
"San Luis","NA","Mexico","F","24","Married","Retail","1","true","false"
"Mandrem","KA","India","M","22","Single","Student","7","false","true"
"Campos dos Goytacazes","BR-RJ","Brazil","F","33","Single","Retail","3","true","false"
"Limoges","NA","France","M","30","Married","Sales","7","false","true"
"Amherst","NY","United States","F","34","Married","Other","2","true","false"
"Sydney","NSW","Australia","F","33","Single","Retail","1","true","false"
"Le Havre","NA","France","F","31","Single","Retail","1","true","false"
"Jacksonville","FL","United States","M","28","Single","Trades","7","false","true"
"Chiba","NA","Japan","M","35","Single","Executive","7","false","true"
"Heihe","NA","China","M","20","Single","Trades","11","false","true"
"Suwa","NA","Japan","M","28","Married","Executive","1","true","false"
"Fuxin","NA","China","M","30","Married","Trades","7","false","true"
"Paris","NA","France","F","26","Married","Retail","3","true","false"
"Guarulhos","BR-SP","Brazil","F","37","Married","Other","1","true","false"
"Melbourne","Vic","Australia","F","23","Married","Retail","1","true","false"
"Dijon","NA","France","F","48","Married","Hospitality","7","false","true"
"Krymsk","NA","Russia","F","30","Married","Other","0","true","true"
"Tolyatti","NA","Russia","M","23","Single","Other","6","false","true"
"Sherbrooke","QC","Canada","M","22","Single","Student","12","false","true"
"Kawasaki","NA","Japan","M","39","Married","Executive","4","false","true"
"Singapore","Singapore","Singapore","F","22","Single","Hospitality","9","false","true"
"Brisbane","Qld","Australia","M","22","Single","Professional","7","false","true"
"Leipzig","NA","Germany","F","37","Married","Retail","0","true","false"
"Randers","NA","Denmark","F","22","Single","Other","8","false","true"
"Fort Lauderdale","FL","United States","M","38","Unspecified","Sales","7","false","true"
"Beijing","NA","China","F","33","Married","Retail","3","true","false"
"Nanaimo","BC","Canada","F","30","Married","Retail","7","false","true"
"Haparanda","NA","Sweden","F","40","Married","Executive","3","true","false"
"Cupertino","CA","United States","F","37","Married","Other","0","true","false"
"Delhi","DL","India","M","22","Single","Sales","6","false","true"
"Conyers","GA","United States","M","36","Married","Executive","7","false","true"
"Fukui","NA","Japan","F","38","Married","Other","2","false","true"
"Suwa","NA","Japan","M","21","Single","Executive","10","false","true"
"Bern","NA","Switzerland","F","35","Married","Other","2","true","false"
"Verona","VR","Italy","M","35","Married","Executive","6","false","true"
"Grenoble","NA","France","F","31","Married","Executive","5","false","true"
"San Antonio","TX","United States","M","30","Married","Other","6","false","true"
"Southwark","NA","United Kingdom","M","33","Single","Trades","6","false","true"
"Córdoba","NA","Spain","M","41","Married","Other","0","true","true"
"Pamplona","NA","Spain","F","20","Single","Other","7","false","true"
"Vancouver","BC","Canada","M","33","Married","Trades","2","true","false"
"Köln","NA","Germany","M","23","Single","Professional","11","false","true"
"Genève","NA","Switzerland","F","33","Married","Other","5","false","true"
"San Luis","NA","Mexico","M","28","Single","Trades","6","false","true"
"Chicago","IL","United States","M","36","Married","Other","6","false","true"
"Sudbury","ON","Canada","M","26","Single","Professional","2","true","true"
"Ajmer","NA","India","F","46","Married","Executive","0","true","true"
"Guangzhou","NA","China","M","44","Married","Executive","7","false","true"
"Tampico","NA","Mexico","F","23","Married","Other","2","true","false"
"Hamburg","NA","Germany","M","25","Single","Trades","6","false","true"
"Navegantes","BR-SC","Brazil","M","21","Single","Executive","3","false","true"
"Perugia","NA","Italy","M","22","Single","Trades","9","false","true"
"Guangzhou","NA","China","F","24","Married","Retail","2","true","false"
"Exeter","NA","United Kingdom","M","31","Married","Trades","7","false","true"
"Ketchikan","AK","United States","F","33","Married","Executive","7","false","true"
"Billerica","MA","United States","M","39","Married","Executive","7","false","true"
"Manchester","NA","United Kingdom","F","36","Married","Other","0","true","false"
"Lille","NA","France","F","39","Married","Other","1","true","false"
"Basel","NA","Switzerland","F","28","Married","Other","1","true","false"
"México","NA","Mexico","M","32","Unspecified","Sales","3","false","true"
"Manaus","BR-AM","Brazil","F","38","Married","Other","1","true","true"
"Basel","NA","Switzerland","M","29","Single","Professional","8","false","true"
"Limoges","NA","France","F","47","Married","Other","7","false","true"
"Eindhoven","NA","Netherlands","M","19","Single","Other","6","false","true"
"Potsdam","NA","Germany","M","20","Single","Professional","9","false","true"
"Bremen","NA","Germany","M","32","Married","Trades","4","false","true"
"Hong Kong","NA","China","M","25","Single","Other","8","false","true"
"Orlando","FL","United States","F","31","Single","Retail","1","true","false"
"Broomfield","CO","United States","M","41","Married","Sales","5","false","true"
"Khabarovsk","NA","Russia","M","19","Single","Trades","7","false","true"
"Melbourne","Vic","Australia","F","49","Married","Executive","0","true","true"
"Nynäshamn","NA","Sweden","F","37","Married","Other","8","false","true"
"Portland","OR","United States","M","26","Single","Other","3","true","false"
"Singapore","Singapore","Singapore","F","32","Married","Other","1","true","false"
"Amravati","MP","India","F","41","Married","Other","2","true","true"
"Cuernavaca","NA","Mexico","M","23","Single","Executive","9","false","true"
"Padova","NA","Italy","M","33","Married","Sales","5","false","true"
"Leicester","NA","United Kingdom","M","31","Single","Professional","8","false","true"
"Alexandria","VA","United States","M","30","Single","Professional","7","false","true"
"Dresden","NA","Germany","M","36","Married","Sales","11","false","true"
"Basel","NA","Switzerland","M","35","Single","Other","9","false","true"
"Chyofu","NA","Japan","M","20","Single","Trades","7","false","true"
"Kasugai","NA","Japan","F","21","Married","Other","0","true","false"
"Mulhouse","NA","France","M","20","Single","Professional","3","true","false"
"Nova Iguaçu","BR-RJ","Brazil","M","24","Single","Trades","11","false","true"
"Qiqihaer","NA","China","M","22","Single","Sales","4","false","true"
"Sherbrooke","QC","Canada","F","30","Unspecified","Other","2","true","false"
"Brisbane","Qld","Australia","F","34","Married","Retail","2","true","false"
"Esbjerg","NA","Denmark","F","27","Married","Sales","6","false","true"
"Orsk","NA","Russia","M","41","Married","Trades","2","true","false"
"Zell am See","NA","Austria","F","47","Married","Other","1","true","false"
"Auburn University","AL","United States","M","25","Single","Other","3","false","true"
"Peoria","IL","United States","F","48","Married","Other","4","false","true"
"Singapore","Singapore","Singapore","F","35","Married","Other","3","true","false"
"Tokyo","NA","Japan","F","34","Single","Retail","0","true","false"
"Guadalajara","NA","Mexico","F","45","Unspecified","Hospitality","2","true","false"
"Timóteo","BR-MG","Brazil","F","22","Single","Other","6","false","true"
"Chihuahua","NA","Mexico","F","46","Married","Executive","3","false","true"
"Akishima","NA","Japan","M","19","Single","Professional","4","false","true"
"Mesquite","TX","United States","M","20","Single","Professional","8","false","true"
"Basel","NA","Switzerland","M","38","Married","Professional","7","false","true"
"Reading","NA","United Kingdom","F","20","Single","Other","6","false","true"
"Kiyose","NA","Japan","M","24","Single","Other","10","false","true"
"Stuttgart","NA","Germany","F","34","Unspecified","Other","1","true","false"
"Cangzhou","NA","China","F","21","Married","Other","1","true","true"
"Riverton","UT","United States","M","28","Single","Trades","9","false","true"
"Puebla","NA","Mexico","F","21","Single","Other","10","false","true"
"São Bernardo do Campo","BR-SP","Brazil","M","20","Single","Other","4","false","true"
"Peterborough","ON","Canada","M","20","Single","Trades","7","false","true"
"Qingdao","NA","China","M","41","Married","Trades","6","false","true"
"Vejle","NA","Denmark","F","42","Married","Executive","7","false","true"
"Smolensk","NA","Russia","F","26","Married","Other","2","true","false"
"Aguascalientes","NA","Mexico","F","37","Unspecified","Hospitality","2","true","true"
"Guarulhos","BR-SP","Brazil","F","24","Single","Other","2","true","false"
"Chongqing","NA","China","F","20","Married","Retail","1","true","false"
"Silkeborg","NA","Denmark","M","35","Unspecified","Sales","9","false","true"
"Venezia","VE","Italy","M","29","Single","Executive","5","false","true"
"Kristinehamn","NA","Sweden","F","36","Married","Retail","4","true","false"
"Grenoble","NA","France","F","24","Single","Other","12","false","true"
"Bedford","NA","United Kingdom","M","32","Single","Sales","6","false","true"
"Utrecht","NA","Netherlands","F","26","Married","Other","1","true","true"
"Bossier City","LA","United States","M","28","Single","Student","5","false","true"
"Linz","NA","Austria","M","28","Single","Other","6","false","true"
"Perugia","NA","Italy","M","38","Single","Professional","10","false","true"
"Krems","NA","Austria","M","20","Single","Other","7","false","true"
"Flin Flon","MB","Canada","F","39","Married","Other","5","false","true"
"Groningen","NA","Netherlands","M","44","Married","Other","6","false","true"
"San Jose","CA","United States","M","35","Married","Other","5","false","true"
"Burnaby","BC","Canada","F","37","Unspecified","Hospitality","1","true","false"
"Brisbane","Qld","Australia","F","33","Married","Other","8","false","true"
"Singapore","Singapore","Singapore","F","21","Single","Other","2","true","false"
"Huntsville","AL","United States","M","40","Married","Other","5","false","true"
"Tours","NA","France","F","36","Married","Executive","8","false","true"
"Beijing","NA","China","M","41","Married","Sales","7","false","true"
"Västerås","NA","Sweden","M","29","Single","Other","6","false","true"
"Yarmouth","NS","Canada","M","23","Single","Other","6","false","true"
"Changchun","NA","China","M","22","Single","Executive","6","false","true"
"Potsdam","NA","Germany","M","27","Married","Executive","6","false","true"
"Renton","WA","United States","M","30","Single","Trades","9","false","true"
"Bielefeld","NA","Germany","M","34","Married","Sales","9","false","true"
"Besancon","NA","France","M","32","Married","Other","7","false","true"
"Rio de Janeiro","BR-RJ","Brazil","M","30","Single","Professional","6","false","true"
"Shanghai","NA","China","M","26","Single","Trades","7","false","true"
"Dübendorf","NA","Switzerland","F","32","Married","Executive","5","false","true"
"Venezia","NA","Italy","F","46","Married","Other","1","true","false"
"Toronto","ON","Canada","M","23","Single","Other","5","false","true"
"Gwangju","NA","Korea","F","31","Single","Retail","0","true","true"
"Melbourne","Vic","Australia","F","45","Unspecified","Hospitality","8","false","true"
"Barcelona","B","Spain","F","23","Married","Retail","2","true","false"
"Rancho Santa Margarita","CA","United States","F","37","Married","Other","2","true","false"
"Tolyatti","NA","Russia","F","32","Married","Other","3","true","false"
"Perpignan","NA","France","F","34","Married","Other","7","false","true"
"Brisbane","Qld","Australia","F","33","Unspecified","Other","1","true","false"
"Delhi","DL","India","M","24","Single","Other","5","false","true"
"Cancún","NA","Mexico","M","34","Married","Sales","8","false","true"
"Macon","GA","United States","F","36","Unspecified","Hospitality","4","true","false"
"Canberra","ACT","Australia","M","22","Single","Other","5","false","true"
"Silkeborg","NA","Denmark","M","39","Single","Other","6","false","true"
"Haparanda","NA","Sweden","F","38","Single","Retail","3","true","false"
"Manaus","BR-AM","Brazil","F","43","Married","Other","6","false","true"
"Canberra","ACT","Australia","F","40","Married","Other","7","false","true"
"Chennai","NA","India","F","45","Married","Other","6","false","true"
"Ronse","NA","Belgium","F","34","Married","Other","2","true","false"
"Dresden","NA","Germany","F","46","Married","Professional","7","false","true"
"Balneário Camboriú","BR-SC","Brazil","M","24","Single","Sales","3","false","true"
"Nantes","NA","France","M","24","Single","Student","8","false","true"
"Gaspé","QC","Canada","F","47","Married","Hospitality","1","true","false"
"Melbourne","Vic","Australia","M","24","Single","Other","6","false","true"
"Shimla","HP","India","M","24","Single","Executive","4","false","true"
"Singapore","Singapore","Singapore","F","34","Married","Executive","8","false","true"
"Brisbane","Qld","Australia","M","27","Single","Trades","11","false","true"
"Great Yarmouth","NA","United Kingdom","F","39","Unspecified","Other","2","true","true"
"Ajmer","NA","India","F","46","Married","Other","6","false","true"
"Osasco","BR-SP","Brazil","F","38","Married","Other","2","true","false"
"Thunder Bay","ON","Canada","F","37","Single","Retail","2","true","false"
"Qingdao","NA","China","M","28","Single","Other","7","false","true"
"Henderson","NV","United States","F","29","Single","Other","7","false","true"
"Bedford","NH","United States","M","34","Married","Sales","3","true","false"
"Kotka","NA","Finland","M","36","Married","Sales","9","false","true"
"Essen","NA","Germany","M","31","Single","Student","10","false","true"
"Basildon","NA","United Kingdom","F","29","Single","Other","5","false","true"
"Oakland","CA","United States","M","25","Single","Sales","11","false","true"
"Manaus","BR-AM","Brazil","M","44","Married","Executive","4","false","true"
"Los Angeles","CA","United States","M","30","Single","Student","4","false","true"
"São Paulo","BR-SP","Brazil","F","33","Married","Executive","3","false","true"
"Chengdu","NA","China","M","27","Single","Professional","10","false","true"
"Perth","WA","Australia","F","28","Single","Other","2","true","false"
"Pamplona","NA","Spain","M","37","Married","Executive","5","false","true"
"Angers","NA","France","M","28","Single","Other","7","false","true"
"Reston","VA","United States","M","23","Single","Professional","10","false","true"
